HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.age,Answer.book,Answer.careful,Answer.comments,Answer.distraction,Answer.english,Answer.gender,Answer.grouptype,Answer.q1,Answer.q10,Answer.q11,Answer.q12,Answer.q13,Answer.q14,Answer.q15,Answer.q16,Answer.q17,Answer.q18,Answer.q19,Answer.q2,Answer.q20,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q26,Answer.q27,Answer.q28,Answer.q29,Answer.q3,Answer.q30,Answer.q31,Answer.q32,Answer.q33,Answer.q34,Answer.q35,Answer.q4,Answer.q5,Answer.q6,Answer.q7,Answer.q8,Answer.q9,Answer.qNum1,Answer.qNum10,Answer.qNum11,Answer.qNum12,Answer.qNum13,Answer.qNum14,Answer.qNum15,Answer.qNum16,Answer.qNum17,Answer.qNum18,Answer.qNum19,Answer.qNum2,Answer.qNum20,Answer.qNum21,Answer.qNum22,Answer.qNum23,Answer.qNum24,Answer.qNum25,Answer.qNum26,Answer.qNum27,Answer.qNum28,Answer.qNum29,Answer.qNum3,Answer.qNum30,Answer.qNum31,Answer.qNum32,Answer.qNum33,Answer.qNum34,Answer.qNum35,Answer.qNum4,Answer.qNum5,Answer.qNum6,Answer.qNum7,Answer.qNum8,Answer.qNum9,Answer.time1,Answer.time2,Answer.time3,Answer.time4,Answer.time5,Answer.time6,Answer.time7,Answer.time8,Approve,Reject,Correct,Self-rating
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,30LB5CDZNDG1FMGXWCMPKSIAPJ00ZJ,AJITIN95JSBAR,Submitted,Tue Mar 07 10:25:23 PST 2017,Tue Mar 07 10:36:24 PST 2017,Fri Mar 10 10:36:24 PST 2017,,,,661,0% (0/0),0% (0/0),0% (0/0),31,,5,no comments,no,yes,male,3,1,5,1,1,1,5,2,5,1,5,1,4,3,1,1,1,3,5,1,1,2,4,3,2,1,4,5,5,1,5,1,5,5,1,1,tqu6,qu63,qu9,qu66,qu41,qu3,qu52,qu59,qu82,qu18,qu4,qu48,qu56,qu20,qu54,qu49,qu58,tqu5,tqu4,qu62,qu19,qu47,qu51,qu60,qu16,qu33,qu81,tqu1,tqu3,qu35,tqu7,qu26,qu2,qu10,tqu2,1488911161507,1488911164344,1488911331195,1488911434791,1488911503671,1488911538070,1488911558655,1488911603541,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,3180JW2OT5IAAEXUBWPFDTQBNTY5JO,A2I5850G7EOPQ2,Submitted,Tue Mar 07 10:24:32 PST 2017,Tue Mar 07 10:28:56 PST 2017,Fri Mar 10 10:28:56 PST 2017,,,,264,0% (0/0),0% (0/0),0% (0/0),30,,3,{},yes,yes,male,3,3,4,3,2,3,3,2,4,3,3,3,3,3,3,3,4,3,3,4,4,3,2,4,3,2,3,4,3,3,3,3,3,3,4,3,tqu2,qu5,qu53,qu37,qu4,qu31,qu51,qu44,qu57,tqu3,tqu6,qu28,tqu4,qu40,qu39,qu7,qu68,qu84,qu46,tqu7,qu71,tqu5,qu26,qu25,qu62,qu58,qu59,tqu1,qu36,qu50,qu81,qu24,qu42,qu13,qu10,1488911244841,1488911248120,1488911264797,1488911289286,1488911304292,1488911318256,1488911326937,1488911331553,,,0.0,3
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,31N2WW6R9SWRRXOUENA1JY0ZGQQ3FT,A19ZWBQT8A3LIR,Submitted,Tue Mar 07 10:24:50 PST 2017,Tue Mar 07 10:37:17 PST 2017,Fri Mar 10 10:37:17 PST 2017,,,,747,0% (0/0),0% (0/0),0% (0/0),27,,5,{},no,yes,male,3,1,1,2,2,2,5,1,1,5,1,1,1,1,1,1,1,5,3,5,4,4,5,1,3,1,5,1,5,1,1,4,3,1,3,4,qu24,tqu7,qu55,qu80,qu12,tqu5,qu46,qu78,qu1,tqu2,qu11,qu31,qu84,qu40,tqu6,tqu4,qu54,qu47,qu56,qu15,qu13,tqu1,qu6,qu28,qu61,qu23,qu16,qu88,qu26,tqu3,qu79,qu70,qu81,qu25,qu58,1488911599962,1488911601941,1488911676890,1488911730726,1488911779666,1488911811011,1488911819580,1488911828763,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,31Z0PCVWULLJBL7IBJIGDJRGC1JT7V,A2Z2OV7QGU10QN,Submitted,Tue Mar 07 10:25:05 PST 2017,Tue Mar 07 10:29:42 PST 2017,Fri Mar 10 10:29:42 PST 2017,,,,277,0% (0/0),0% (0/0),0% (0/0),27,,5,Very interesting study.,no,yes,male,3,1,2,2,5,5,2,1,2,1,1,4,4,1,4,5,4,1,1,2,2,1,4,4,1,2,5,1,4,4,1,5,5,4,1,5,qu66,qu72,qu9,qu86,qu77,qu67,qu4,qu44,tqu7,tqu6,qu31,qu7,tqu3,qu56,qu61,qu17,qu60,qu76,qu19,qu41,tqu4,qu52,qu71,qu69,qu55,tqu5,qu10,qu26,qu78,tqu2,qu45,qu47,qu74,qu40,tqu1,1488911117243,1488911120148,1488911270320,1488911307295,1488911341833,1488911357860,1488911366065,1488911373119,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,32AT8R96GMFKUW6ZZR61D69EIT3USA,AFKZZEURTCR8U,Submitted,Tue Mar 07 10:24:34 PST 2017,Tue Mar 07 10:29:45 PST 2017,Fri Mar 10 10:29:45 PST 2017,,,,311,0% (0/0),0% (0/0),0% (0/0),31,,5,{},no,yes,male,3,1,1,1,5,5,2,4,2,3,1,2,5,1,5,5,5,5,2,5,1,4,1,3,1,1,5,2,5,3,2,4,2,1,4,1,tqu3,tqu6,tqu7,tqu1,qu77,qu10,qu43,qu12,qu4,qu14,qu60,qu34,tqu4,qu1,tqu5,qu22,qu79,qu54,qu18,qu20,qu38,tqu2,qu68,qu70,qu76,qu2,qu85,qu15,qu19,qu50,qu37,qu65,qu71,qu33,qu86,1488911080001,1488911084301,1488911244566,1488911279192,1488911358831,1488911372706,1488911377149,1488911382645,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,32KTQ2V7RELJC95RHJFO51NUDJC9MN,A1YX741QQSMKPS,Submitted,Tue Mar 07 10:25:38 PST 2017,Tue Mar 07 10:30:55 PST 2017,Fri Mar 10 10:30:55 PST 2017,,,,317,0% (0/0),0% (0/0),0% (0/0),60,,4,"borders on Rohan, I am missing the reference,; must google",no,yes,male,3,5,2,2,2,2,3,5,2,5,1,1,1,4,4,1,1,1,4,3,4,2,4,5,1,1,3,4,1,1,4,4,5,1,5,4,qu13,qu57,qu58,qu86,qu14,qu46,qu76,qu34,qu84,qu85,tqu2,tqu3,qu82,qu43,tqu6,qu65,tqu7,qu33,qu44,qu39,qu60,qu41,qu15,qu12,qu72,qu56,qu11,tqu4,qu4,qu63,qu22,tqu1,qu75,tqu5,qu31,1488911180486,1488911184072,1488911220235,1488911278198,1488911343780,1488911372022,1488911383212,1488911395008,,,7.0,4
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,32SVAV9L3GFWV67M37O95XP8JAD3AG,A100Y89FZO4J0B,Submitted,Tue Mar 07 10:24:39 PST 2017,Tue Mar 07 11:21:32 PST 2017,Fri Mar 10 11:21:32 PST 2017,,,,3413,0% (0/0),0% (0/0),0% (0/0),27,,5,{},no,yes,female,3,2,4,2,5,4,2,3,3,2,2,1,4,4,2,4,5,4,2,1,2,2,4,4,4,4,4,4,1,4,4,4,4,1,1,4,qu24,qu74,qu4,tqu5,qu63,qu9,qu44,qu33,qu14,qu71,tqu7,qu45,qu38,qu55,qu36,tqu1,qu6,qu72,tqu6,qu73,qu80,qu8,qu64,qu31,qu51,qu47,qu13,tqu4,qu46,qu42,qu52,qu3,tqu3,tqu2,qu26,1488913778890,1488914093479,1488914188240,1488914262794,1488914439480,1488914452718,1488914467625,1488914479625,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,33CID57105ZDRPYQ0YDZEB5JDMC3LY,A1U8V8MATNRZN4,Submitted,Tue Mar 07 10:25:03 PST 2017,Tue Mar 07 10:27:41 PST 2017,Fri Mar 10 10:27:41 PST 2017,,,,158,0% (0/0),0% (0/0),0% (0/0),33,,5,{},no,yes,male,3,4,4,4,3,4,4,2,4,4,4,1,3,4,4,4,2,1,4,4,4,4,4,4,1,4,2,2,3,1,4,4,4,4,3,4,qu78,qu4,qu19,qu23,tqu6,tqu5,qu28,qu26,qu81,qu55,tqu1,qu85,qu53,qu57,qu31,qu87,tqu7,qu83,qu40,qu68,qu39,qu10,qu48,tqu2,qu63,qu11,tqu4,qu30,tqu3,qu77,qu42,qu15,qu52,qu8,qu65,1488911110658,1488911114777,1488911145069,1488911175819,1488911216559,1488911235615,1488911246049,1488911257009,,,3.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,33LKR6A5KFQ50ZSGM317C9039FJT1Y,ALEE1QD4TW9G4,Submitted,Tue Mar 07 10:24:46 PST 2017,Tue Mar 07 10:30:02 PST 2017,Fri Mar 10 10:30:02 PST 2017,,,,316,0% (0/0),0% (0/0),0% (0/0),44,,5,survey went fine,no,yes,female,3,5,2,4,5,4,5,1,1,5,1,1,5,1,5,4,2,5,5,1,5,1,4,1,2,5,2,1,4,5,1,1,5,5,4,2,qu84,qu20,qu58,qu29,qu51,qu47,qu71,qu73,qu77,qu68,qu76,qu88,tqu3,tqu5,qu38,qu49,tqu1,qu82,qu40,qu26,tqu2,qu28,tqu6,qu10,qu1,qu14,tqu4,qu53,qu21,qu70,tqu7,qu43,qu74,qu11,qu55,1488911103805,1488911107456,1488911198087,1488911267079,1488911339562,1488911366670,1488911373401,1488911384473,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,34MAJL3QP5THTHR5U6EISU38R0H345,A32QYANWMXW8EL,Submitted,Tue Mar 07 10:24:32 PST 2017,Tue Mar 07 10:41:18 PST 2017,Fri Mar 10 10:41:18 PST 2017,,,,1006,0% (0/0),0% (0/0),0% (0/0),34,,5,{},no,yes,female,3,3,4,5,4,3,5,4,1,2,3,4,5,5,3,1,1,2,3,1,2,3,5,4,3,2,4,3,5,4,3,2,5,1,4,3,qu44,qu57,tqu5,qu48,qu25,qu30,qu6,tqu2,qu3,qu49,qu40,qu54,qu39,qu60,tqu3,qu75,qu9,qu8,tqu4,qu80,tqu6,qu43,qu67,qu47,qu5,qu35,qu46,qu87,qu19,qu82,qu56,tqu1,tqu7,qu63,qu1,1488911911558,1488911918473,1488911945270,1488911982026,1488912042041,1488912064649,1488912072719,1488912078146,,,6.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,34T446B1C1KO7T5N4Y2H9UHPG1E0CK,A2XJH3WC02RMXQ,Submitted,Tue Mar 07 10:24:32 PST 2017,Tue Mar 07 10:29:05 PST 2017,Fri Mar 10 10:29:05 PST 2017,,,,273,0% (0/0),0% (0/0),0% (0/0),36,,5,None,no,yes,male,3,4,4,5,1,4,2,5,5,5,2,5,1,3,4,4,3,1,4,5,3,4,1,3,4,1,4,5,3,5,4,2,4,2,4,5,qu37,qu32,qu58,tqu7,qu12,qu54,qu45,qu19,qu18,qu31,tqu1,tqu4,qu69,qu1,qu28,qu33,tqu2,qu14,qu2,qu44,qu49,tqu3,qu36,qu65,tqu6,qu38,tqu5,qu16,qu78,qu26,qu9,qu3,qu17,qu30,qu70,1488911083871,1488911089473,1488911159894,1488911220794,1488911281461,1488911306497,1488911318416,1488911336995,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,388U7OUMF87SDVU6MVSCYPGBG2H0RQ,A1MN2PWAV10VAB,Submitted,Tue Mar 07 10:24:55 PST 2017,Tue Mar 07 10:32:20 PST 2017,Fri Mar 10 10:32:20 PST 2017,,,,445,0% (0/0),0% (0/0),0% (0/0),31,,5,{},no,yes,female,3,2,5,5,3,2,1,5,1,1,3,2,2,5,3,5,1,1,3,4,5,1,5,4,1,1,5,4,5,5,2,4,2,1,1,3,qu22,qu68,tqu5,qu59,qu34,tqu4,qu63,tqu2,qu36,qu40,qu49,qu45,qu3,qu81,qu4,tqu6,qu21,qu27,qu38,qu88,tqu3,qu60,qu39,qu72,tqu7,tqu1,qu32,qu35,qu42,qu47,qu16,qu43,qu70,qu75,qu82,1488911281020,1488911284414,1488911347260,1488911399124,1488911481902,1488911519633,1488911528180,1488911536925,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,39L1G8WVWRX01IUM7OVGUWW5FG731S,A37RHQPON2RJYL,Submitted,Tue Mar 07 10:24:28 PST 2017,Tue Mar 07 10:39:51 PST 2017,Fri Mar 10 10:39:51 PST 2017,,,,923,0% (0/0),0% (0/0),0% (0/0),29,,5,{},no,yes,female,3,5,5,4,5,1,2,4,5,5,1,2,3,4,1,5,2,5,5,4,3,4,5,1,1,5,4,1,5,4,4,1,5,5,1,2,qu9,tqu1,qu48,qu36,tqu3,qu82,qu60,qu53,qu34,tqu2,qu78,qu7,qu59,qu55,qu18,qu10,tqu5,qu80,qu79,qu52,qu45,qu4,tqu4,tqu6,qu35,qu25,qu72,qu6,qu65,qu81,tqu7,qu49,qu68,qu37,qu3,1488911783867,1488911787408,1488911842361,1488911883912,1488911942447,1488911956665,1488911965589,1488911972412,,,7.0,5
3421H3BM9ANRPH1COKXV0P0UFY49JP,38WHRO3LM5CNRUAPCKT72EG33CZ62E,Personality Survey ~7 mins,Answer 35 survey questions about yourself.,"survey, demographics",$0.70,Tue Mar 07 10:23:21 PST 2017,150,BatchId:2715023;OriginalHitTemplateId:920937332;,3600,259200,Tue Mar 14 11:23:21 PDT 2017,,,39LOEL67OTBICIE7694V96JDTMD38C,A3UMANQDDX964G,Submitted,Tue Mar 07 10:24:37 PST 2017,Tue Mar 07 10:33:26 PST 2017,Fri Mar 10 10:33:26 PST 2017,,,,529,0% (0/0),0% (0/0),0% (0/0),24,,4,{},no,yes,male,3,5,4,1,2,1,1,1,1,5,1,1,1,5,5,4,5,1,1,5,1,5,5,4,4,5,1,2,1,5,2,5,1,1,5,3,qu56,qu70,tqu6,qu76,qu82,qu2,tqu2,qu30,qu1,qu22,tqu7,tqu1,qu81,qu41,qu38,qu23,qu8,qu37,qu53,qu21,qu27,qu80,qu39,qu77,qu68,tqu3,qu60,qu40,tqu5,qu69,qu88,qu4,tqu4,qu43,qu28,1488911415060,1488911423951,1488911458254,1488911513649,1488911562212,1488911593673,1488911599185,1488911606182,,,7.0,4
